item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
HI001_low,HI001,2,1,insaciável,que pode deixar de estar saciado,high_in,neg,insaciável,-,saciável,saciar,verb,47,1.497880499,1.672097858,3.175477167,6,low,incorrect,que pode deixar de estar saciado
HI001_high,HI001,2,2,insaciável,que não pode ser saciado,high_in,neg,insaciável,-,saciável,saciar,verb,47,1.497880499,1.672097858,3.175477167,6,high,correct,que não pode ser saciado
HI002_low,HI002,3,2,indomável,que pode deixar de estar dominado,high_in,neg,indomável,-,domável,domar,verb,71,2.262755648,1.851258349,3.354637658,5,low,incorrect,que pode deixar de estar dominado
HI002_high,HI002,3,3,indomável,que não pode ser dominado,high_in,neg,indomável,-,domável,domar,verb,71,2.262755648,1.851258349,3.354637658,5,high,correct,que não pode ser dominado
HI003_low,HI003,1,4,indissociável,que pode deixar de estar dissociado,high_in,neg,indissociável,-,dissociável,dissociar,verb,105,3.346328775,2.021189299,3.524568608,9,low,incorrect,que pode deixar de estar dissociado
HI003_high,HI003,1,1,indissociável,que não pode ser dissociado,high_in,neg,indissociável,-,dissociável,dissociar,verb,105,3.346328775,2.021189299,3.524568608,9,high,correct,que não pode ser dissociado
HI004_low,HI004,4,3,indigerível,que pode deixar de estar digerido,high_in,neg,indigerível,-,digerível,digerir,verb,105,3.346328775,2.021189299,3.524568608,7,low,incorrect,que pode deixar de estar digerido
HI004_high,HI004,4,4,indigerível,que não pode ser digerido,high_in,neg,indigerível,-,digerível,digerir,verb,105,3.346328775,2.021189299,3.524568608,7,high,correct,que não pode ser digerido
HI005_low,HI005,1,4,inaferível,que pode deixar de estar aferido,high_in,neg,inaferível,-,aferível,aferir,verb,108,3.441938168,2.033423755,3.536803064,6,low,incorrect,que pode deixar de estar aferido
HI005_high,HI005,1,1,inaferível,que não pode ser aferido,high_in,neg,inaferível,-,aferível,aferir,verb,108,3.441938168,2.033423755,3.536803064,6,high,correct,que não pode ser aferido
HI006_low,HI006,4,3,impenhorável,que pode deixar de estar penhorado,high_in,neg,impenhorável,-,penhorável,penhorar,verb,109,3.473807966,2.037426498,3.540805807,8,low,incorrect,que pode deixar de estar penhorado
HI006_high,HI006,4,4,impenhorável,que não pode ser penhorado,high_in,neg,impenhorável,-,penhorável,penhorar,verb,109,3.473807966,2.037426498,3.540805807,8,high,correct,que não pode ser penhorado
HI007_low,HI007,2,1,inalienável,que pode deixar de estar alienado,high_in,neg,inalienável,-,alienável,alienar,verb,112,3.56941736,2.049218023,3.552597331,7,low,incorrect,que pode deixar de estar alienado
HI007_high,HI007,2,2,inalienável,que não pode ser alienado,high_in,neg,inalienável,-,alienável,alienar,verb,112,3.56941736,2.049218023,3.552597331,7,high,correct,que não pode ser alienado
HI008_low,HI008,3,2,inconsolável,que pode deixar de estar consolado,high_in,neg,inconsolável,-,consolável,consolar,verb,143,4.557381093,2.155336037,3.658715346,8,low,incorrect,que pode deixar de estar consolado
HI008_high,HI008,3,3,inconsolável,que não pode ser consolado,high_in,neg,inconsolável,-,consolável,consolar,verb,143,4.557381093,2.155336037,3.658715346,8,high,correct,que não pode ser consolado
HI009_low,HI009,1,4,ilegalizável,que pode deixar de estar legalizado,high_in,neg,ilegalizável,-,legalizável,legalizar,verb,146,4.652990487,2.164352856,3.667732165,9,low,incorrect,que pode deixar de estar legalizado
HI009_high,HI009,1,1,ilegalizável,que não pode ser legalizado,high_in,neg,ilegalizável,-,legalizável,legalizar,verb,146,4.652990487,2.164352856,3.667732165,9,high,correct,que não pode ser legalizado
HI010_low,HI010,3,2,indelimitável,que pode deixar de estar delimitado,high_in,neg,indelimitável,-,delimitável,delimitar,verb,162,5.162907252,2.209515015,3.712894323,9,low,incorrect,que pode deixar de estar delimitado
HI010_high,HI010,3,3,indelimitável,que não pode ser delimitado,high_in,neg,indelimitável,-,delimitável,delimitar,verb,162,5.162907252,2.209515015,3.712894323,9,high,correct,que não pode ser delimitado
HI011_low,HI011,4,3,inacessível,que pode deixar de estar acessado,high_in,neg,inacessível,-,acessível,acessar,verb,164,5.226646848,2.214843848,3.718223157,7,low,incorrect,que pode deixar de estar acessado
HI011_high,HI011,4,4,inacessível,que não pode ser acessado,high_in,neg,inacessível,-,acessível,acessar,verb,164,5.226646848,2.214843848,3.718223157,7,high,correct,que não pode ser acessado
HI012_low,HI012,2,1,intolerável,que pode deixar de estar tolerado,high_in,neg,intolerável,-,tolerável,tolerar,verb,223,7.106964921,2.348304863,3.851684172,7,low,incorrect,que pode deixar de estar tolerado
HI012_high,HI012,2,2,intolerável,que não pode ser tolerado,high_in,neg,intolerável,-,tolerável,tolerar,verb,223,7.106964921,2.348304863,3.851684172,7,high,correct,que não pode ser tolerado
HI013_low,HI013,3,2,imparcelável,que pode deixar de estar parcelado,high_in,neg,imparcelável,-,parcelável,parcelar,verb,243,7.744360878,2.385606274,3.888985582,8,low,incorrect,que pode deixar de estar parcelado
HI013_high,HI013,3,3,imparcelável,que não pode ser parcelado,high_in,neg,imparcelável,-,parcelável,parcelar,verb,243,7.744360878,2.385606274,3.888985582,8,high,correct,que não pode ser parcelado
HI014_low,HI014,4,3,inconsertável,que pode deixar de estar consertado,high_in,neg,inconsertável,-,consertável,consertar,verb,263,8.381756835,2.419955748,3.923335057,9,low,incorrect,que pode deixar de estar consertado
