item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
HI001_high,HI001,2,2,insaciável,que não pode ser saciado,high_in,neg,insaciável,-,saciável,saciar,verb,47,1.497880499,1.672097858,3.175477167,6,high,correct,que não pode ser saciado
HI002_low,HI002,3,2,indomável,que pode deixar de estar dominado,high_in,neg,indomável,-,domável,domar,verb,71,2.262755648,1.851258349,3.354637658,5,low,incorrect,que pode deixar de estar dominado
HI007_high,HI007,2,2,inalienável,que não pode ser alienado,high_in,neg,inalienável,-,alienável,alienar,verb,112,3.56941736,2.049218023,3.552597331,7,high,correct,que não pode ser alienado
HI008_low,HI008,3,2,inconsolável,que pode deixar de estar consolado,high_in,neg,inconsolável,-,consolável,consolar,verb,143,4.557381093,2.155336037,3.658715346,8,low,incorrect,que pode deixar de estar consolado
HI010_low,HI010,3,2,indelimitável,que pode deixar de estar delimitado,high_in,neg,indelimitável,-,delimitável,delimitar,verb,162,5.162907252,2.209515015,3.712894323,9,low,incorrect,que pode deixar de estar delimitado
HI012_high,HI012,2,2,intolerável,que não pode ser tolerado,high_in,neg,intolerável,-,tolerável,tolerar,verb,223,7.106964921,2.348304863,3.851684172,7,high,correct,que não pode ser tolerado
HI013_low,HI013,3,2,imparcelável,que pode deixar de estar parcelado,high_in,neg,imparcelável,-,parcelável,parcelar,verb,243,7.744360878,2.385606274,3.888985582,8,low,incorrect,que pode deixar de estar parcelado
HI015_high,HI015,2,2,incomputável,que não pode ser computado,high_in,neg,incomputável,-,computável,computar,verb,279,8.891673601,2.445604203,3.948983512,8,high,correct,que não pode ser computado
HI019_low,HI019,3,2,improrrogável,que pode deixar de estar prorrogado,high_in,neg,improrrogável,-,prorrogável,prorrogar,verb,379,12.07865339,2.57863921,4.082018519,9,low,incorrect,que pode deixar de estar prorrogado
HI020_high,HI020,2,2,incapturável,que não pode ser capturado,high_in,neg,incapturável,-,capturável,capturar,verb,390,12.42922116,2.591064607,4.094443916,8,high,correct,que não pode ser capturado
HI023_low,HI023,3,2,inexprimível,que pode deixar de estar expresso,high_in,neg,inexprimível,-,exprimível,exprimir,verb,417,13.2897057,2.620136055,4.123515364,8,low,incorrect,que pode deixar de estar expresso
HI024_high,HI024,2,2,inabitável,que não pode ser habitado,high_in,neg,inabitável,-,habitável,habitar,verb,451,14.37327883,2.654176542,4.157555851,7,high,correct,que não pode ser habitado
HI026_high,HI026,2,2,insolucionável,que não pode ser solucionado,high_in,neg,insolucionável,-,solucionável,solucionar,verb,498,15.87115933,2.697229343,4.200608652,10,high,correct,que não pode ser solucionado
HI027_low,HI027,3,2,imperdoável,que pode deixar de estar perdoado,high_in,neg,imperdoável,-,perdoável,perdoar,verb,516,16.44481569,2.712649702,4.21602901,7,low,incorrect,que pode deixar de estar perdoado
HI029_high,HI029,2,2,indelegável,que não pode ser delegado,high_in,neg,indelegável,-,delegável,delegar,verb,528,16.82725327,2.722633923,4.226013231,7,high,correct,que não pode ser delegado
HI030_low,HI030,3,2,improferível,que pode deixar de estar proferido,high_in,neg,improferível,-,proferível,proferir,verb,600,19.12187871,2.77815125,4.281530559,8,low,incorrect,que pode deixar de estar proferido
HI034_low,HI034,3,2,inesgotável,que pode deixar de estar esgotado,high_in,neg,inesgotável,-,esgotável,esgotar,verb,773,24.63535374,2.888179494,4.391558803,7,low,incorrect,que pode deixar de estar esgotado
HI035_high,HI035,2,2,inconcebível,que não pode ser concebido,high_in,neg,inconcebível,-,concebível,conceber,verb,823,26.22884363,2.915399835,4.418779144,8,high,correct,que não pode ser concebido
HI037_low,HI037,3,2,inapreciável,que pode deixar de estar apreciado,high_in,neg,inapreciável,-,apreciável,apreciar,verb,907,28.90590665,2.957607287,4.460986596,8,low,incorrect,que pode deixar de estar apreciado
HI039_high,HI039,2,2,indetectável,que não pode ser detectado,high_in,neg,indetectável,-,detectável,detectar,verb,1123,35.78978299,3.050379756,4.553759065,8,high,correct,que não pode ser detectado
HI043_high,HI043,2,2,inquestionável,que não pode ser questionado,high_in,neg,inquestionável,-,questionável,questionar,verb,1306,41.621956,3.115943177,4.619322486,10,high,correct,que não pode ser questionado
