item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
HI001_low,HI001,2,1,insaciável,que pode ser insaciado,high_in,neg,insaciável,-,saciável,saciar,verb,47,1.497880499,1.672097858,3.175477167,6,low,incorrect
HI001_high,HI001,2,2,insaciável,que não é saciável,high_in,neg,insaciável,-,saciável,saciar,verb,47,1.497880499,1.672097858,3.175477167,6,high,correct
HI002_low,HI002,3,2,indomável,que pode ser indomado,high_in,neg,indomável,-,domável,domar,verb,71,2.262755648,1.851258349,3.354637658,5,low,incorrect
HI002_high,HI002,3,3,indomável,que não é domável,high_in,neg,indomável,-,domável,domar,verb,71,2.262755648,1.851258349,3.354637658,5,high,correct
HI003_low,HI003,1,4,indissociável,que pode ser indissociado,high_in,neg,indissociável,-,dissociável,dissociar,verb,105,3.346328775,2.021189299,3.524568608,9,low,incorrect
HI003_high,HI003,1,1,indissociável,que não é dissociável,high_in,neg,indissociável,-,dissociável,dissociar,verb,105,3.346328775,2.021189299,3.524568608,9,high,correct
HI004_low,HI004,4,3,indigerível,que pode ser indigerido,high_in,neg,indigerível,-,digerível,digerir,verb,105,3.346328775,2.021189299,3.524568608,7,low,incorrect
HI004_high,HI004,4,4,indigerível,que não é digerível,high_in,neg,indigerível,-,digerível,digerir,verb,105,3.346328775,2.021189299,3.524568608,7,high,correct
HI005_low,HI005,1,4,inaferível,que pode ser inaferido,high_in,neg,inaferível,-,aferível,aferir,verb,108,3.441938168,2.033423755,3.536803064,6,low,incorrect
HI005_high,HI005,1,1,inaferível,que não é aferível,high_in,neg,inaferível,-,aferível,aferir,verb,108,3.441938168,2.033423755,3.536803064,6,high,correct
HI006_low,HI006,4,3,impenhorável,que pode ser impenhorado,high_in,neg,impenhorável,-,penhorável,penhorar,verb,109,3.473807966,2.037426498,3.540805807,8,low,incorrect
HI006_high,HI006,4,4,impenhorável,que não é penhorável,high_in,neg,impenhorável,-,penhorável,penhorar,verb,109,3.473807966,2.037426498,3.540805807,8,high,correct
HI007_low,HI007,2,1,inalienável,que pode ser inalienado,high_in,neg,inalienável,-,alienável,alienar,verb,112,3.56941736,2.049218023,3.552597331,7,low,incorrect
HI007_high,HI007,2,2,inalienável,que não é alienável,high_in,neg,inalienável,-,alienável,alienar,verb,112,3.56941736,2.049218023,3.552597331,7,high,correct
HI008_low,HI008,3,2,inconsolável,que pode ser inconsolado,high_in,neg,inconsolável,-,consolável,consolar,verb,143,4.557381093,2.155336037,3.658715346,8,low,incorrect
HI008_high,HI008,3,3,inconsolável,que não é consolável,high_in,neg,inconsolável,-,consolável,consolar,verb,143,4.557381093,2.155336037,3.658715346,8,high,correct
HI009_low,HI009,1,4,ilegalizável,que pode ser ilegalizado,high_in,neg,ilegalizável,-,legalizável,legalizar,verb,146,4.652990487,2.164352856,3.667732165,9,low,incorrect
HI009_high,HI009,1,1,ilegalizável,que não é legalizável,high_in,neg,ilegalizável,-,legalizável,legalizar,verb,146,4.652990487,2.164352856,3.667732165,9,high,correct
HI010_low,HI010,3,2,indelimitável,que pode ser indelimitado,high_in,neg,indelimitável,-,delimitável,delimitar,verb,162,5.162907252,2.209515015,3.712894323,9,low,incorrect
HI010_high,HI010,3,3,indelimitável,que não é delimitável,high_in,neg,indelimitável,-,delimitável,delimitar,verb,162,5.162907252,2.209515015,3.712894323,9,high,correct
HI011_low,HI011,4,3,inacessível,que pode ser inacessado,high_in,neg,inacessível,-,acessível,acessar,verb,164,5.226646848,2.214843848,3.718223157,7,low,incorrect
