item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
HI002_high,HI002,3,3,indomável,que não é domável,high_in,neg,indomável,-,domável,domar,verb,71,2.262755648,1.851258349,3.354637658,5,high,correct
HI004_low,HI004,4,3,indigerível,que pode ser indigerido,high_in,neg,indigerível,-,digerível,digerir,verb,105,3.346328775,2.021189299,3.524568608,7,low,incorrect
HI006_low,HI006,4,3,impenhorável,que pode ser impenhorado,high_in,neg,impenhorável,-,penhorável,penhorar,verb,109,3.473807966,2.037426498,3.540805807,8,low,incorrect
HI008_high,HI008,3,3,inconsolável,que não é consolável,high_in,neg,inconsolável,-,consolável,consolar,verb,143,4.557381093,2.155336037,3.658715346,8,high,correct
HI010_high,HI010,3,3,indelimitável,que não é delimitável,high_in,neg,indelimitável,-,delimitável,delimitar,verb,162,5.162907252,2.209515015,3.712894323,9,high,correct
HI011_low,HI011,4,3,inacessível,que pode ser inacessado,high_in,neg,inacessível,-,acessível,acessar,verb,164,5.226646848,2.214843848,3.718223157,7,low,incorrect
HI013_high,HI013,3,3,imparcelável,que não é parcelável,high_in,neg,imparcelável,-,parcelável,parcelar,verb,243,7.744360878,2.385606274,3.888985582,8,high,correct
HI014_low,HI014,4,3,inconsertável,que pode ser inconsertado,high_in,neg,inconsertável,-,consertável,consertar,verb,263,8.381756835,2.419955748,3.923335057,9,low,incorrect
HI018_low,HI018,4,3,incurável,que pode ser incurado,high_in,neg,incurável,-,curável,curar,verb,369,11.75995541,2.567026366,4.070405675,5,low,incorrect
HI019_high,HI019,3,3,improrrogável,que não é prorrogável,high_in,neg,improrrogável,-,prorrogável,prorrogar,verb,379,12.07865339,2.57863921,4.082018519,9,high,correct
HI022_low,HI022,4,3,indatável,que pode ser indatado,high_in,neg,indatável,-,datável,datar,verb,410,13.06661712,2.612783857,4.116163166,5,low,incorrect
HI023_high,HI023,3,3,inexprimível,que não é exprimível,high_in,neg,inexprimível,-,exprimível,exprimir,verb,417,13.2897057,2.620136055,4.123515364,8,high,correct
HI027_high,HI027,3,3,imperdoável,que não é perdoável,high_in,neg,imperdoável,-,perdoável,perdoar,verb,516,16.44481569,2.712649702,4.21602901,7,high,correct
