version,block,unit_id,unit_type,within_unit_position,pair_cell,pair_role,stimulus_id,stimulus,lexicality,condition,prime_condition,target_condition,zipf_scale
1,1,V1_P01,prime_target_pair,1,high_in__high_des,prime,HI01,indomável,word,high_in,high_in,high_des,3.354637657515075
1,1,V1_P01,prime_target_pair,2,high_in__high_des,target,HD06,desdiagnosticável,word,high_des,high_in,high_des,3.835817768711605
1,1,V1_P02,prime_target_pair,1,high_in__high_des,prime,HI11,incapturável,word,high_in,high_in,high_des,4.094443915822499
1,1,V1_P02,prime_target_pair,2,high_in__high_des,target,HD02,desaprazível,word,high_des,high_in,high_des,2.845801989618206
1,1,V1_P03,prime_target_pair,1,high_in__high_des,prime,HI21,insuportável,word,high_in,high_in,high_des,4.350334633815824
1,1,V1_P03,prime_target_pair,2,high_in__high_des,target,HD12,desimitável,word,high_des,high_in,high_des,4.225189924008546
1,1,V1_P04,prime_target_pair,1,high_in__high_des,prime,HI27,intraduzível,word,high_in,high_in,high_des,4.618656900191901
1,1,V1_P04,prime_target_pair,2,high_in__high_des,target,HD16,desconfiável,word,high_des,high_in,high_des,4.474655157534105
1,1,V1_P05,prime_target_pair,1,high_in__high_des,prime,HI29,improcessável,word,high_in,high_in,high_des,4.652906322550347
1,1,V1_P05,prime_target_pair,2,high_in__high_des,target,HD08,desreparável,word,high_des,high_in,high_des,4.072753218411045
1,1,V1_P06,prime_target_pair,1,low_re__high_des,prime,LR02,reoxigenável,word,low_re,low_re,high_des,3.11616317
1,1,V1_P06,prime_target_pair,2,low_re__high_des,target,HD03,desconfortável,word,high_des,low_re,high_des,3.1935753888245135
1,1,V1_P07,prime_target_pair,1,low_re__high_des,prime,LR04,reidratável,word,low_re,low_re,high_des,3.20234931
1,1,V1_P07,prime_target_pair,2,low_re__high_des,target,HD20,desavisável,word,high_des,low_re,high_des,4.6883544994942605
1,1,V1_P08,prime_target_pair,1,low_re__high_des,prime,LR19,reabsorvível,word,low_re,low_re,high_des,4.37495224
1,1,V1_P08,prime_target_pair,2,low_re__high_des,target,HD28,desavaliável,word,high_des,low_re,high_des,5.0699346396790546
